species,survey,percent.change,pop.change,French_Name,Scientific_Name,Sort_Order,Index.data.source,Primary.Survey.2017.SOBC.original,nationalalt.All.birds,national.Other.birds,nationalalt.arctic,nationalalt.shrub,nationalalt.suburban,national.Forest.birds,national.Grassland.birds,national.Shorebirds,national.other.wetland.birds,nationalalt.wetland.birds,national.Waterfowl,national.diurnal.raptors,national.Aerial.insectivores,national.Canadian.nesting.Seabirds,nationalalt.range.expansion,grassland.native.grassland,grassland.other,seabirds.Atlantic,seabirds.Pacific,seabirds.alcids,seabirds.nonalcid,seabirds.Arctic,shorebirds.longdistance,shorebirds.other,forest.mature,forest.young,forest.boreal,forest.eastern,forest.western,forest.broad,forestm.Canada,forestm.south.america,forestm.forest.crop.specialists,forestm.Mex.CAm.US,waterfowl.geese,waterfowl.ducks,waterfowl.other.wetland.birds,rapAI.diurnal.raptors,rapAI.Aerial.insectivores,CDN_Status,approximate_percent_change,
Ruffed Grouse,CBC CA,-2.2,Little Change,Gélinotte huppée,Bonasa umbellus,124,CBC CA,CBC CA,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,Included in group,,,Included in group,,,,,,,,,BRE,-2.22,-0.02
Rufous Hummingbird,BBS,-54,Decrease,Colibri roux,Selasphorus rufus,340,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,Included in group,,,Included in group,,,,,Included in group,,,,,,BRE,-54,0
Rusty Blackbird,CBC NA,-66,Decrease,Quiscale rouilleux,Euphagus carolinus,1936,CBC NA,CBC NA,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,Included in group,,,,,,,,Included in group,,,,,,BRE,-66.3,-0.3
Sabine's Gull,NA,NA,NA,Mouette de Sabine,Xema sabini,568,no acceptable data for indicator,NA,Included in group,,,,,,,,Included in group,Included in group,,,,Included in group,,,,Included in group,Included in group,,Included in group,,,,,,,,,,,,,,,,Included in group,,,BRE,NA,#VALUE!
Sage Thrasher,NA,NA,NA,Moqueur des armoises,Oreoscoptes montanus,1628,no acceptable data for indicator,In text,Included in group,Included in group,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,NA,#VALUE!
Sanderling,Shorebird,-76,Decrease,Bécasseau sanderling,Calidris alba,495,Shorebird,Shorebird,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,BRE,-75.9,0.1
Sandhill Crane,CBC NA,120,Increase,Grue du Canada,Antigone canadensis,437,CBC NA,CBC NA,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,BRE,123,3
Savannah Sparrow,BBS,-49,Decrease,Bruant des prés,Passerculus sandwichensis,1841,BBS,BBS,Included in group,,,,,,Included in group,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,BRE,-49.3,-0.3
Say's Phoebe,BBS,110,Increase,Moucherolle à ventre roux,Sayornis saya,1237,BBS,BBS,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,110,0
Scarlet Tanager,BBS,-27,Decrease,Piranga écarlate,Piranga olivacea,2034,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,,Included in group,,,,Included in group,,,,,,,,BRE,-26.8,0.2
Scripps's Murrelet,NA,NA,NA,Guillemot de Scripps,Synthliboramphus scrippsi,551,no acceptable data for indicator,NA,Included in group,,,,,,,,,,,,,Included in group,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,RNB,NA,#VALUE!
Sedge Wren,BBS,25,Little Change,Troglodyte à bec court,Cistothorus platensis,1467,BBS,BBS,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,BRE,25,0
Semipalmated Plover,Shorebird,-13,Little Change,Pluvier semipalmé,Charadrius semipalmatus,459,Shorebird,Shorebird,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,BRE,-13,0
Semipalmated Sandpiper,Shorebird,-70,Decrease,Bécasseau semipalmé,Calidris pusilla,505,Shorebird,Shorebird,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,BRE,-70.1,-0.1
Sharp-shinned Hawk,NA,NA,NA,Épervier brun,Accipiter striatus,791,no acceptable data for indicator,no acceptable data for indicator,Included in group,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,BRE,NA,#VALUE!
Sharp-tailed Grouse,BBS,13,Little Change,Tétras à queue fine,Tympanuchus phasianellus,133,BBS,BBS,Included in group,,,,,,Included in group,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,BRE,12.6,-0.4
Sharp-tailed Sandpiper,NA,NA,NA,Bécasseau à queue pointue,Calidris acuminata,488,no acceptable data for indicator,NA,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,RNB,NA,#VALUE!
Short-billed Dowitcher,Shorebird,-65,Decrease,Bécassin roux,Limnodromus griseus,507,Shorebird,Shorebird,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,BRE,-64.9,0.1
Short-eared Owl,CBC CA,-90,Decrease,Hibou des marais,Asio flammeus,864,CBC CA,CBC CA,Included in group,,,,,,Included in group,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,BRE,-89.6,0.4
Short-tailed Albatross,NA,NA,NA,Albatros à queue courte,Phoebastria albatrus,640,no acceptable data for indicator,NA,Included in group,,,,,,,,,,,,,Included in group,,,,,Included in group,,Included in group,,,,,,,,,,,,,,,,,,,RNB,NA,#VALUE!
Short-tailed Shearwater,NA,NA,NA,Puffin à bec grêle,Ardenna tenuirostris,671,no acceptable data for indicator,NA,Included in group,,,,,,,,,,,,,Included in group,,,,,Included in group,,Included in group,,,,,,,,,,,,,,,,,,,RNB,NA,#VALUE!
Smith's Longspur,CBC NA,3300,Increase,Plectrophane de Smith,Calcarius pictus,1774,CBC NA,CBC NA,Included in group,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,3250,-50
