species,survey,percent.change,pop.change,French_Name,Scientific_Name,Sort_Order,Index.data.source,Primary.Survey.2017.SOBC.original,nationalalt.All.birds,national.Other.birds,nationalalt.arctic,nationalalt.shrub,nationalalt.suburban,national.Forest.birds,national.Grassland.birds,national.Shorebirds,national.other.wetland.birds,nationalalt.wetland.birds,national.Waterfowl,national.diurnal.raptors,national.Aerial.insectivores,national.Canadian.nesting.Seabirds,nationalalt.range.expansion,grassland.native.grassland,grassland.other,seabirds.Atlantic,seabirds.Pacific,seabirds.alcids,seabirds.nonalcid,seabirds.Arctic,shorebirds.longdistance,shorebirds.other,forest.mature,forest.young,forest.boreal,forest.eastern,forest.western,forest.broad,forestm.Canada,forestm.south.america,forestm.forest.crop.specialists,forestm.Mex.CAm.US,waterfowl.geese,waterfowl.ducks,waterfowl.other.wetland.birds,rapAI.diurnal.raptors,rapAI.Aerial.insectivores,CDN_Status,approximate_percent_change,
Chimney Swift,BBS,-87,Decrease,Martinet ramoneur,Chaetura pelagica,259,BBS,BBS,Included in group,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,BRE,-86.6,0.4
Chipping Sparrow,BBS,-45,Decrease,Bruant familier,Spizella passerina,1828,BBS,BBS,Included in group,Included in group,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,-45.2,-0.2
Chuck-will's-widow,NA,NA,NA,Engoulevent de Caroline,Antrostomus carolinensis,235,no acceptable data for indicator,NA,Included in group,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,BRE_OCC,NA,#VALUE!
Chukar,NA,NA,NA,Perdrix choukar,Alectoris chukar,113,CBC NA,CBC NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE_Intr,-10.3,#VALUE!
Cinnamon Teal,NA,NA,NA,Sarcelle cannelle,Spatula cyanoptera,38,no acceptable data for indicator,NA,Included in group,,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,BRE,NA,#VALUE!
Clark's Grebe,NA,NA,NA,Grèbe à face blanche,Aechmophorus clarkii,146,no acceptable data for indicator,DD,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,BRE,NA,#VALUE!
Clark's Nutcracker,BBS,58,Increase,Cassenoix d'Amérique,Nucifraga columbiana,1388,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,,,Included in group,,Included in group,,Included in group,,,,,,,BRE,58.3,0.3
Clay-colored Sparrow,BBS,-41,Decrease,Bruant des plaines,Spizella pallida,1829,BBS,BBS,Included in group,Included in group,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,-40.9,0.1
Cliff Swallow,BBS,-67,Decrease,Hirondelle à front blanc,Petrochelidon pyrrhonota,1429,BBS,BBS,Included in group,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,BRE,-66.6,0.4
Common Eider,NA,NA,NA,Eider à duvet,Somateria mollissima,63,no acceptable data for indicator,NA,Included in group,,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,BRE,NA,#VALUE!
Common Gallinule,MMP - GL,-71,Decrease,Gallinule d'Amérique,Gallinula galeata,430,MMP - GL,MMP - GL,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,BRE,-71.3,-0.3
Common Goldeneye,Western Waterfowl,47,Increase,Garrot à oeil d'or,Bucephala clangula,72,Western Waterfowl,Western Waterfowl,Included in group,,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,BRE,47.2,0.2
Common Grackle,BBS,-26,Decrease,Quiscale bronzé,Quiscalus quiscula,1938,BBS,BBS,Included in group,Included in group,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,-26.2,-0.2
Common Loon,BBS,87,Increase,Plongeon huard,Gavia immer,628,BBS,BBS,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,BRE,86.7,-0.3
Common Merganser,EWS_Helicopter,38,Increase,Grand Harle,Mergus merganser,76,EWS_Helicopter,EWS_Helicopter,Included in group,,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,BRE,38,0
Common Murre,Colony Counts Atlantic,58,Increase,Guillemot marmette,Uria aalge,542,Colony Counts Atlantic,Colony Counts Atlantic,Included in group,,,,,,,,,,,,,Included in group,,,,Included in group,,Included in group,,,,,,,,,,,,,,,,,,,,BRE,5.08,-52.92
Common Nighthawk,BBS,-64,Decrease,Engoulevent d'Amérique,Chordeiles minor,226,BBS,BBS,Included in group,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,BRE,-64.3,-0.3
Common Poorwill,BBS NA,29,Little Change,Engoulevent de Nuttall,Phalaenoptilus nuttallii,229,BBS NA,BBS NA,Included in group,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,BRE,28.6,-0.4
Common Raven,BBS,220,Increase,Grand Corbeau,Corvus corax,1405,BBS,BBS,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,223,3
Common Redpoll,CBC NA,-65,Decrease,Sizerin flammé,Acanthis flammea,1753,CBC NA,CBC NA,Included in group,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,,,,BRE,-65,0
Common Ringed Plover,NA,NA,NA,Pluvier grand-gravelot,Charadrius hiaticula,458,no acceptable data for indicator,NA,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,BRE,NA,#VALUE!
Common Tern,NA,NA,NA,Sterne pierregarin,Sterna hirundo,613,no acceptable data for indicator,in text,Included in group,,,,,,,,Included in group,Included in group,,,,Included in group,,,,Included in group,,,Included in group,,,,,,,,,,,,,,,,Included in group,,,BRE,NA,#VALUE!
Common Yellowthroat,BBS,-15,Little Change,Paruline masquée,Geothlypis trichas,1976,BBS,BBS,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,BRE,-14.5,0.5
Connecticut Warbler,BBS,-47,Decrease,Paruline à gorge grise,Oporornis agilis,1965,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,Included in group,,,,,Included in group,,,,,,,,BRE,-47.2,-0.2
Cooper's Hawk,BBS,47,Increase,Épervier de Cooper,Accipiter cooperii,792,BBS,BBS,Included in group,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,BRE,46.8,-0.2
Cordilleran Flycatcher,NA,NA,NA,Moucherolle des ravins,Empidonax occidentalis,1231,no acceptable data for indicator,NA,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,,,Included in group,,,,,Included in group,,,,,,BRE,NA,#VALUE!
Cory's Shearwater,NA,NA,NA,Puffin cendré,Calonectris diomedea,667,no acceptable data for indicator,NA,Included in group,,,,,,,,,,,,,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,RNB,NA,#VALUE!
Dark-eyed Junco,BBS,-12,Little Change,Junco ardoisé,Junco hyemalis,1860,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,,,Included in group,,,,,Included in group,,,,,,BRE,-12.4,-0.4
Dickcissel,NA,NA,NA,Dickcissel d'Amérique,Spiza americana,2065,no acceptable data for indicator,NA,Included in group,,,,,,Included in group,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,BRE,NA,#VALUE!
Double-crested Cormorant,Colony Counts Atlantic,420,Increase,Cormoran à aigrettes,Phalacrocorax auritus,718,Colony Counts Atlantic,Colony Counts Atlantic,Included in group,,,,,,,,,,,,,Included in group,,,,Included in group,,,Included in group,,,,,,,,,,,,,,,,,,,BRE,149,-271
Dovekie,NA,NA,NA,Mergule nain,Alle alle,541,no acceptable data for indicator,Reports from the only known breeding site,Included in group,,,,,,,,,,,,,Included in group,,,,Included in group,,Included in group,,,,,,,,,,,,,,,,,,,,BRE,NA,#VALUE!
Downy Woodpecker,BBS,25,Little Change,Pic mineur,Picoides pubescens,960,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,Included in group,Included in group,,,,,,,,,BRE,24.8,-0.2
Dunlin,CBC NA,-35,Decrease,Bécasseau variable,Calidris alpina,496,CBC NA,CBC NA,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,BRE,-35.2,-0.2
Dusky Flycatcher,BBS,77,Increase,Moucherolle sombre,Empidonax oberholseri,1228,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,Included in group,,,Included in group,,,,,Included in group,,,,,,BRE,76.5,-0.5
Dusky Grouse,BBS,5.2,Little Change,Tétras sombre,Dendragapus obscurus,131,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,Included in group,,Included in group,,,,,,,,,BRE,5.23,0.03
Eared Grebe,CBC NA,16,Little Change,Grèbe à cou noir,Podiceps nigricollis,144,CBC NA,CBC NA,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,BRE,16.4,0.4
Eastern Bluebird,BBS,150,Increase,Merlebleu de l'Est,Sialia sialis,1555,BBS,BBS,Included in group,Included in group,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,151,1
Eastern Kingbird,BBS,-46,Decrease,Tyran tritri,Tyrannus tyrannus,1279,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,Included in group,,,,,,Included in group,,,,,,,,BRE,-45.9,0.1
Eastern Meadowlark,BBS,-85,Decrease,Sturnelle des prés,Sturnella magna,1887,BBS,BBS,Included in group,,,,,,Included in group,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,BRE,-84.7,0.3
Eastern Phoebe,BBS,-42,Decrease,Moucherolle phébi,Sayornis phoebe,1236,BBS,BBS,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,-41.7,0.3
Eastern Screech-Owl,NA,NA,NA,Petit-duc maculé,Megascops asio,832,no acceptable data for indicator,no acceptable data for indicator,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,,Included in group,,,Included in group,,,,,,,,,BRE,NA,#VALUE!
Eastern Towhee,BBS,-47,Decrease,Tohi à flancs roux,Pipilo erythrophthalmus,1805,BBS,BBS,Included in group,Included in group,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,-46.6,0.4
Eastern Whip-poor-will,BBS,-41,Decrease,Engoulevent bois-pourri,Antrostomus vociferus,241,BBS,BBS,Included in group,,,,,Included in group,,,,,,,Included in group,,,,,,,,,,,,Included in group,,,Included in group,,,,,,Included in group,,,,,Included in group,BRE,-41.2,-0.2
Eastern Wood-Pewee,BBS,-67,Decrease,Pioui de l'Est,Contopus virens,1214,BBS,BBS,Included in group,,,,,Included in group,,,,,,,Included in group,,,,,,,,,,,,Included in group,,,Included in group,,,,Included in group,,,,,,,Included in group,BRE,-67.3,-0.3
Eastern Yellow Wagtail,NA,NA,NA,Bergeronnette de Béringie,Motacilla tschutschensis,1669,no acceptable data for indicator,NA,Included in group,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE_OCC,NA,#VALUE!
Eskimo Curlew,NA,NA,NA,Courlis esquimau,Numenius borealis,472,no acceptable data for indicator,NA,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,BRE_OCC,NA,#VALUE!
Eurasian Collared-Dove,NA,NA,NA,Tourterelle turque,Streptopelia decaocto,164,no acceptable data for indicator,CBC NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE_Intr,NA,#VALUE!
Eurasian Skylark,NA,NA,NA,Alouette des champs,Alauda arvensis,1409,CBC CA,CBC CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE_Intr,-96.4,#VALUE!
Eurasian Wigeon,NA,NA,NA,Canard siffleur,Mareca penelope,42,no acceptable data for indicator,NA,Included in group,,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,RNB,NA,#VALUE!
European Starling,NA,NA,NA,Étourneau sansonnet,Sturnus vulgaris,1633,BBS,BBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE_Intr,-65.6,#VALUE!
Evening Grosbeak,BBS,-88,Decrease,Gros-bec errant,Coccothraustes vespertinus,1700,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,Included in group,,,,Included in group,,Included in group,,,,,,,BRE,-88.3,-0.3
Ferruginous Hawk,BBS,160,Increase,Buse rouilleuse,Buteo regalis,820,BBS,BBS,Included in group,,,,,,Included in group,,,,,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,Included in group,,BRE,155,-5
Field Sparrow,BBS,-47,Decrease,Bruant des champs,Spizella pusilla,1831,BBS,BBS,Included in group,Included in group,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,-47.2,-0.2
Flammulated Owl,NA,NA,NA,Petit-duc nain,Psiloscops flammeolus,830,no acceptable data for indicator,"In text, COSEWIC",Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,,,Included in group,,,,,Included in group,,,,,,BRE,NA,#VALUE!
Flesh-footed Shearwater,NA,NA,NA,Puffin à pieds pâles,Ardenna carneipes,675,no acceptable data for indicator,NA,Included in group,,,,,,,,,,,,,Included in group,,,,,Included in group,,Included in group,,,,,,,,,,,,,,,,,,,RNB,NA,#VALUE!
Fork-tailed Storm-Petrel,NA,NA,NA,Océanite à queue fourchue,Oceanodroma furcata,689,no acceptable data for indicator,NA,Included in group,,,,,,,,,,,,,Included in group,,,,,Included in group,,Included in group,,,,,,,,,,,,,,,,,,,BRE,NA,#VALUE!
Forster's Tern,NA,NA,NA,Sterne de Forster,Sterna forsteri,615,no acceptable data for indicator,NA,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,BRE,NA,#VALUE!
Fox Sparrow,BBS,320,Increase,Bruant fauve,Passerella iliaca,1850,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,Included in group,Included in group,,,,,,,Included in group,,,,,,BRE,317,-3
Franklin's Gull,BBS,-61,Decrease,Mouette de Franklin,Leucophaeus pipixcan,576,BBS,BBS,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,BRE,-60.8,0.2
Gadwall,Western Waterfowl,140,Increase,Canard chipeau,Mareca strepera,40,Western Waterfowl,Western Waterfowl,Included in group,,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,BRE,141,1
Glaucous-winged Gull,BBS,-10,Little Change,Goéland à ailes grises,Larus glaucescens,590,BBS,BBS,Included in group,,,,,,,,,,,,,Included in group,,,,,Included in group,,Included in group,,,,,,,,,,,,,,,,,,,BRE,-16.3,-6.3
Glaucous Gull,NA,NA,NA,Goéland bourgmestre,Larus hyperboreus,591,no acceptable data for indicator,in text,Included in group,,,,,,,,,,,,,Included in group,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,BRE,NA,#VALUE!
Glossy Ibis,NA,NA,NA,Ibis falcinelle,Plegadis falcinellus,758,no acceptable data for indicator,NA,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,RNB,NA,#VALUE!
Golden-crowned Kinglet,BBS,43,Increase,Roitelet à couronne dorée,Regulus satrapa,1515,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,Included in group,,,,,,,Included in group,,,,,,BRE,43.2,0.2
Golden-crowned Sparrow,CBC NA,94,Increase,Bruant à couronne dorée,Zonotrichia atricapilla,1858,CBC NA,CBC NA,Included in group,Included in group,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,94,0
Golden-winged Warbler,BBS,140,Increase,Paruline à ailes dorées,Vermivora chrysoptera,1951,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,Included in group,,,,,,,,Included in group,,,,,,BRE,139,-1
Golden Eagle,CBC CA,-1,Little Change,Aigle royal,Aquila chrysaetos,823,CBC CA,CBC CA,Included in group,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,BRE,-1.03,-0.03
Grasshopper Sparrow,BBS,15,Little Change,Bruant sauterelle,Ammodramus savannarum,1842,BBS,BBS,Included in group,,,,,,Included in group,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,BRE,14.8,-0.2
Gray-cheeked Thrush,BBS,-64,Decrease,Grive à joues grises,Catharus minimus,1579,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,Included in group,,,,,Included in group,,,,,,,,BRE,-64.1,-0.1
Gray-crowned Rosy-Finch,CBC NA,120,Increase,Roselin à tête grise,Leucosticte tephrocotis,1745,CBC NA,CBC NA,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,121,1
Gray-headed Chickadee,NA,NA,NA,Mésange lapone,Poecile cinctus,1439,no acceptable data for indicator,NA,Included in group,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE_OCC,NA,#VALUE!
Gray Catbird,BBS,-8.3,Little Change,Moqueur chat,Dumetella carolinensis,1612,BBS,BBS,Included in group,Included in group,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,-8.33,-0.03
Gray Flycatcher,NA,NA,NA,Moucherolle gris,Empidonax wrightii,1227,no acceptable data for indicator,In text,Included in group,Included in group,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,NA,#VALUE!
Gray Jay,CBC CA,-67,Decrease,Mésangeai du Canada,Perisoreus canadensis,1362,CBC CA,CBC CA,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,Included in group,,,,Included in group,,,,,,,,,BRE,-66.9,0.1
Gray Partridge,NA,NA,NA,Perdrix grise,Perdix perdix,118,BBS,BBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE_Intr,13.2,#VALUE!
Great Auk,NA,NA,NA,NA,NA,NA,no acceptable data for indicator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ext,NA,#VALUE!
Great Black-backed Gull,CBC NA,0.39,Little Change,Goéland marin,Larus marinus,592,CBC NA,CBC NA,Included in group,,,,,,,,,,,,,Included in group,,,,Included in group,,,Included in group,,,,,,,,,,,,,,,,,,,BRE,-55.9,-56.29
Great Blue Heron,BBS,-20,Little Change,Grand Héron,Ardea herodias,733,BBS,BBS,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,BRE,-19.7,0.3
Great Cormorant,Colony Counts Atlantic,41,Increase,Grand Cormoran,Phalacrocorax carbo,719,Colony Counts Atlantic,Colony Counts Atlantic,Included in group,,,,,,,,,,,,,Included in group,,,,Included in group,,,Included in group,,,,,,,,,,,,,,,,,,,BRE,31.3,-9.7
Great Crested Flycatcher,BBS,-25,Little Change,Tyran huppé,Myiarchus crinitus,1251,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,,Included in group,,,,,,Included in group,,,,,,BRE,-25,0
Great Egret,NA,NA,NA,Grande Aigrette,Ardea alba,737,BBS,BBS,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,BRE,1360,#VALUE!
Great Gray Owl,CBC CA,83,Increase,Chouette lapone,Strix nebulosa,861,CBC CA,CBC CA,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,Included in group,,,,Included in group,,,,,,,,,BRE,83.4,0.4
Great Horned Owl,BBS,-14,Little Change,Grand-duc d'Amérique,Bubo virginianus,844,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,,,,Included in group,Included in group,,,,,,,,,BRE,-14.1,-0.1
Great Shearwater,NA,NA,NA,Puffin majeur,Ardenna gravis,673,no acceptable data for indicator,NA,Included in group,,,,,,,,,,,,,Included in group,,,,Included in group,Included in group,,Included in group,,,,,,,,,,,,,,,,,,,RNB,NA,#VALUE!
Great Skua,NA,NA,NA,Grand Labbe,Stercorarius skua,536,no acceptable data for indicator,NA,Included in group,,,,,,,,,,,,,Included in group,,,,Included in group,,,Included in group,,,,,,,,,,,,,,,,,,,RNB,NA,#VALUE!
Greater Prairie-Chicken,NA,NA,NA,NA,NA,NA,no acceptable data for indicator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ext,NA,#VALUE!
Greater Sage-Grouse,NA,NA,NA,Tétras des armoises,Centrocercus urophasianus,125,no acceptable data for indicator,In text,Included in group,,,,,,Included in group,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,BRE,NA,#VALUE!
Greater Scaup,NA,NA,NA,Fuligule milouinan,Aythya marila,58,no acceptable data for indicator,NA,Included in group,,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,BRE,NA,#VALUE!
Greater White-fronted Goose,Lincoln Estimate,510,Increase,Oie rieuse,Anser albifrons,15,Lincoln Estimate,Lincoln Estimate,Included in group,,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,,BRE,514,4
Greater Yellowlegs,Shorebird,23,Little Change,Grand Chevalier,Tringa melanoleuca,527,Shorebird,Shorebird,Included in group,,,,,Included in group,,Included in group,,,,,,,,,,,,,,,Included in group,,Included in group,,,,,,,,,Included in group,,,,,,BRE,23.5,0.5
Green-winged Teal,Western Waterfowl,130,Increase,Sarcelle d'hiver,Anas crecca,52,Western Waterfowl,Western Waterfowl,Included in group,,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,BRE,125,-5
Green Heron,BBS,-30,Decrease,Héron vert,Butorides virescens,749,BBS,BBS,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,BRE,-29.8,0.2
Gyrfalcon,NA,NA,NA,Faucon gerfaut,Falco rusticolus,1004,no acceptable data for indicator,no acceptable data for indicator,Included in group,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,BRE,NA,#VALUE!
Hairy Woodpecker,CBC CA,100,Increase,Pic chevelu,Picoides villosus,962,CBC CA,CBC CA,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,Included in group,Included in group,,,,,,,,,BRE,101,1
Hammond's Flycatcher,BBS,86,Increase,Moucherolle de Hammond,Empidonax hammondii,1226,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,,,Included in group,,,,,Included in group,,,,,,BRE,85.7,-0.3
Harlequin Duck,NA,NA,NA,Arlequin plongeur,Histrionicus histrionicus,64,no acceptable data for indicator,NA,Included in group,,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,BRE,NA,#VALUE!
Harris's Sparrow,CBC NA,-72,Decrease,Bruant à face noire,Zonotrichia querula,1856,CBC NA,CBC NA,Included in group,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,-72,0
Heermann's Gull,NA,NA,NA,Goéland de Heermann,Larus heermanni,579,no acceptable data for indicator,NA,Included in group,,,,,,,,,,,,,Included in group,,,,,Included in group,,Included in group,,,,,,,,,,,,,,,,,,,RNB,NA,#VALUE!
Henslow's Sparrow,NA,NA,NA,Bruant de Henslow,Ammodramus henslowii,1844,no acceptable data for indicator,Atlas ON,Included in group,,,,,,Included in group,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,BRE,NA,#VALUE!
Hermit Thrush,BBS,-24,Little Change,Grive solitaire,Catharus guttatus,1582,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,,Included in group,,,,,,Included in group,,,,,,BRE,-23.9,0.1
Herring Gull,Colony Counts Atlantic,-58,Decrease,Goéland argenté,Larus argentatus,585,Colony Counts Atlantic,Colony Counts Atlantic,Included in group,,,,,,,,,,,,,Included in group,,,,Included in group,,,Included in group,,,,,,,,,,,,,,,,,,,BRE,-67,-9
Hoary Redpoll,CBC CA,1500,Increase,Sizerin blanchâtre,Acanthis hornemanni,1755,CBC CA,CBC CA,Included in group,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,1460,-40
Hooded Merganser,EWS_Helicopter,94,Increase,Harle couronné,Lophodytes cucullatus,75,EWS_Helicopter,EWS_Helicopter,Included in group,,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,BRE,94.2,0.2
Hooded Warbler,NA,NA,NA,Paruline à capuchon,Setophaga citrina,1982,no acceptable data for indicator,Atlas ON,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,,Included in group,,,,,,Included in group,,,,,,BRE,NA,#VALUE!
Horned Grebe,CBC NA,17,Little Change,Grèbe esclavon,Podiceps auritus,142,CBC NA,CBC NA,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,BRE,17.2,0.2
Horned Lark,BBS,-89,Decrease,Alouette hausse-col,Eremophila alpestris,1410,BBS,BBS,Included in group,,,,,,Included in group,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,BRE,-88.9,0.1
Horned Puffin,NA,NA,NA,Macareux cornu,Fratercula corniculata,562,no acceptable data for indicator,Atlas BC,Included in group,,,,,,,,,,,,,Included in group,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,BRE,NA,#VALUE!
House Finch,BBS,87,Increase,Roselin familier,Haemorhous mexicanus,1748,BBS,BBS,Included in group,Included in group,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,87.2,0.2
House Sparrow,NA,NA,NA,Moineau domestique,Passer domesticus,1667,BBS,BBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE_Intr,-81.5,#VALUE!
House Wren,BBS,19,Little Change,Troglodyte familier,Troglodytes aedon,1459,BBS,BBS,Included in group,Included in group,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,18.7,-0.3
